text,category,familiarity,slide,commentId
Adobe Illustrator,Productivity and Design,3,20,Illustrator
Adobe Premiere,Productivity and Design,2,12,Premiere
Microsoft Powerpoint,Productivity and Design,2,21,Powerpoint
Microsoft Excel,Productivity and Design,2,21,Excel
Microsoft Word,Productivity and Design,2,21,Word
Adobe Photoshop,Productivity and Design,1,19,Photoshop
Microsoft Project,Productivity and Design,1,6,Project
Microsoft Publisher,Productivity and Design,1,16,Publisher
MATLAB,Programming,3,2,MATLAB
Wolfram Mathematica,Programming,3,14,Mathematica
Adobe Dreamweaver,Programming,2,17,Dreamweaver
Python,Programming,2,18,Python
Microsoft Visual Studio,Programming,2,11,VisualStudio
LaTeX,Programming,1,21,Latex
Arduino (C++),Programming,1,21,Arduino
Eclipse IDE,Programming,1,13,Eclipse
SolidWorks,Research,2,3,SolidWorks
LabVIEW,Research,2,9,LabVIEW
Lumerical FDTD Solutions,Research,1,1,Lumerical
Microsoft Visio,Research,1,4,Visio
EndNote,Research,1,5,EndNote
COMSOL Multiphysics,Research,1,7,COMSOL
NEURON,Research,1,8,NEURON
Xilinx ISE,Research,1,21,Xilinx
MeshLab,Research,1,15,MeshLab
Cadence Virtuoso,Research,1,10,Cadence
